"project","language","article","access","agent","granularity","date","views"
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-19,163
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-20,342
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-21,319
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-22,320
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-23,370
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-24,284
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-25,157
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-26,189
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-27,318
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-28,353
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-29,338
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-30,323
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-03-31,239
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-01,118
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-02,176
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-03,295
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-04,324
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-05,259
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-06,308
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-07,229
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-08,127
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-09,146
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-10,272
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-11,284
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-12,287
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-13,242
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-14,164
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-15,103
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-16,125
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-17,230
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-18,296
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-19,346
"wikipedia","en","Hawksbill_sea_turtle","desktop","user","daily",2017-04-20,317
