accuracy_(1_high;_2_name_covers_several_sp_eg_sifaka_or_skua;_3_very_generic_eg_mouse_or_crab;_4_confusion_name),episode,date,viewers_(citation:_BARB),multiple,first,last,seconds,diaries,location,taxa,taxa_aves,status,status2,twitter,tweet_count,max_wiki_hit,wiki,baseline_mobile_median,baseline_mobile_mean,wiki_diff_mean,wiki_diff_median,mobile_anomaly_1%,mobile_anomaly_2%,desktop_anomaly_1%,desktop_anomaly_2%,arkive_supplied_data?,arkive,arkive_comments,wiki_other_IMPROVE,popularity,notes
1,2,13/11/16,13.1425,1,33,35,158,0,Andes,rodentia,na,lc,1,viscacha,11,150,Lagidium,4,5,145,146,2,2,1,2,1,Southern viscacha (Lagidium viscacia),,Southern viscacha,,
2,2,13/11/16,13.1425,1,20,20,6,0,north america,rodentia,na,lc,1,marmot,2,1175,Marmot,507,595,580,668,0,0,0,0,1,na,other similar sp on arkive,Yellow-bellied marmot,,
3,2,13/11/16,13.1425,1,24,25,13,0,Rockies,rodentia,na,na,na,mouse,11,774,Mouse,553,555,219,221,0,0,0,0,1,na,,,,
na,2,13/11/16,13.1425,1,29,32,168,0,Mount Kenya,plant,na,lc,1,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,,,
1,2,13/11/16,13.1425,1,3,9,374,0,Arabian peninsula,artiodactyla,na,vu,3,ibex,94,769,Nubian ibex,38,39,730,731,2,2,2,2,1,Nubian ibex (Capra nubiana),,Ibex,,
1,2,13/11/16,13.1425,1,5,9,196,0,Arabian peninsula,carnivora,na,lc,1,fox,42,1270,Red fox,886,924,346,384,0,0,0,0,1,Red fox (Vulpes vulpes),,Fox,,
1,2,13/11/16,13.1425,2,1,48,574,0,Himalayas,carnivora,na,en,4,leopard,474,138,Snow Leopard,40,46,92,98,0,1,0,0,1,Snow leopard (Panthera uncia),,Leopard??,,
2,2,13/11/16,13.1425,1,29,29,47,0,Rockies,rodentia,na,na,na,squirrel,5,1187,Squirrel,906,923,264,281,0,0,0,0,1,na,,,,
2,3,20/11/16,11.5976,1,22,28,418,0,Brasil,reptilia,na,lc,1,caiman,164,2758,Caiman,457,583,2175,2301,0,1,0,1,1,Yacare caiman (Caiman yacare),,Yacare caiman,,
1,3,20/11/16,11.5976,1,21,28,418,0,Brasil,rodentia,na,lc,1,capybara,203,4329,Capybara,1303,1524,2805,3026,0,0,0,0,1,Capybara (Hydrochoerus hydrochaeris),,,,
2,3,20/11/16,11.5976,1,37,39,72,0,na,insecta,na,na,na,beetle,10,114,Click beetle,89,134,-20,25,0,0,0,0,1,na,other similar sp on arkive,,,
2,3,20/11/16,11.5976,1,9,12,180,0,Borneo,reptilia,na,na,na,lizard,40,419,Draco (genus),48,53,366,371,1,2,0,2,,na,,Lizard,,
2,3,20/11/16,11.5976,1,50,50,12,yes,Brasil,insecta,na,na,na,red ant,3,465,Fire ant,499,554,-89,-34,0,0,0,0,,na,,,,
1,3,20/11/16,11.5976,1,22,22,9,0,Brasil,carnivora,na,en,4,otter,75,2081,Giant otter,188,221,1860,1893,2,2,1,1,1,Giant otter (Pteronura brasiliensis),,Otter,,
2,3,20/11/16,11.5976,1,30,35,328,0,Costa Rica,amphibia,na,lc,1,frog,124,352,Glass frog,60,65,287,292,0,2,0,0,1,na,other similar sp on arkive,"Hyalinobatrachium fleischmanni, Frog",,
na,3,20/11/16,11.5976,1,14,14,36,0,Ecuador,aves,apodiformes,na,na,na,na,1876,Hummingbird,1200,1410,466,676,0,0,0,0,,na,,,,
1,3,20/11/16,11.5976,2,1,49,218,0,Madagascar,primates,na,cr,5,indri,44,1804,Indri,39,47,1757,1765,2,2,2,2,,Indri (Indri indri),,,,
1,3,20/11/16,11.5976,1,22,28,342,0,Brasil,carnivora,na,nt,2,jaguar,1066,6611,Jaguar,1887,2034,4577,4724,0,1,0,0,1,Jaguar (Panthera onca),,,,
3,3,20/11/16,11.5976,1,39,40,63,0,na,diplopoda,na,na,na,millipede,7,1362,Millipede,635,628,734,727,0,1,0,0,1,na,,,,
na,3,20/11/16,11.5976,1,12,14,98,0,na,plant,na,na,na,na,na,,na,,NA,#VALUE!,0,NA,NA,NA,NA,,na,,Hura crepitans,,
2,3,20/11/16,11.5976,1,39,40,95,0,na,insecta,na,na,na,worm,20,1155,Railroad worm,10,11,1144,1145,2,2,2,2,,na,other similar sp on arkive,,,
3,3,20/11/16,11.5976,1,49,49,7,yes,Brasil,rodentia,na,na,na,na,na,984,Rat,921,955,29,63,0,0,0,0,,na,,,,
1,3,20/11/16,11.5976,1,41,43,124,0,Papua new guinea,aves,passeriformes,nt,2,na,na,529,Red bird-of-paradise,10,11,518,519,1,2,1,2,1,Red bird-of-paradise (Paradisaea rubra),,"Bird, Bird-of-paradise",,
2,3,20/11/16,11.5976,2,20,57,552,yes,Brasil,artiodactyla,na,na,5,dolphin,236,2259,River dolphin,126,135,2124,2133,2,2,1,1,1,,sp featured is a recent split from: Boto (Inia geoffrensis),Dolphin,,
3,3,20/11/16,11.5976,1,50,50,8,yes,Brasil,arachnida,na,na,na,spider,110,4769,Spider,1229,1314,3455,3540,0,1,0,0,,na,,,,
2,3,20/11/16,11.5976,1,3,9,308,0,na (guatemala?),primates,na,en,4,monkey,73,898,Spider monkey,300,305,593,598,1,2,0,0,1,Black-handed spider monkey (Ateles geoffroyi),,"Geoffroy's spider monkey, Monkey",,
1,3,20/11/16,11.5976,1,14,17,166,0,Ecuador,aves,apodiformes,lc,1,na,na,521,Sword-billed hummingbird,11,12,509,510,2,2,1,2,1,Sword-billed hummingbird (Ensifera ensifera),,Hummingbird,,
2,3,20/11/16,11.5976,1,29,30,44,0,Madagascar,reptilia,na,na,na,gecko,5,49,Uroplatus,10,11,38,39,0,0,0,0,,na,other similar sp on arkive,,,
3,3,20/11/16,11.5976,1,32,35,169,0,Costa Rica,insecta,na,na,na,wasp,100,878,Wasp,1062,1271,-393,-184,0,0,0,0,,na,,,,
1,3,20/11/16,11.5976,1,43,46,228,0,Papua new guinea,aves,passeriformes,nt,2,na,na,904,Wilson's bird-of-paradise,11,12,892,893,2,2,2,2,1,Wilson’s bird-of-paradise (Cicinnurus respublica),,"Bird, Bird-of-paradise",,
4,4,27/11/16,11.8837,1,14,16,106,0,American W?,aves,passeriformes,lc,1,butcherbird,12,1248,Butcherbird,65,71,1177,1183,2,2,2,2,,na,actual sp: Loggerhead shrike (Lanius ludovicianus),"Loggerhead shrike, Shrike",,
2,4,27/11/16,11.8837,1,44,47,217,0,namib,insecta,na,na,na,beetle,188,81,Darkling beetle,58,61,20,23,0,0,0,0,,na,other similar sp on arkive,Beetle,,
1,4,27/11/16,11.8837,1,40,43,140,0,israel,arachnida,na,na,na,scorpion,108,1027,Deathstalker,138,163,864,889,0,1,0,0,,na,,Scorpion,,
1,4,27/11/16,11.8837,1,40,43,185,0,israel,chiroptera,na,lc,1,na,118,213,Desert long-eared bat,1,1,212,212,2,2,2,2,1,Hemprich’s long-eared bat (Otonycteris hemprichii),,Bat,,
2,4,27/11/16,11.8837,1,23,25,132,0,Kalahari,proboscidea,na,vu,3,elephant,235,3430,Elephant,2696,2759,671,734,0,0,0,0,,African elephant (Loxodonta africana),,"African bush elephant, African elephant",,
1,4,27/11/16,11.8837,1,5,8,172,0,Namib desert,artiodactyla,na,vu,3,giraffe,108,1979,Giraffe,1601,1622,357,378,0,0,0,0,1,Giraffe (Giraffa camelopardalis),,Angolan giraffe,,
2,4,27/11/16,11.8837,1,37,39,153,0,namib?,afrosoricida,na,nt,2,mole,112,2746,Golden mole,24,26,2720,2722,2,2,2,2,1,na,other similar sp on arkive,"Mole, Grant's golden mole",,
