project,language,article,access,agent,granularity,date,views
wikipedia,en,African_elephant,desktop,user,daily,28/03/2017,606
wikipedia,en,African_elephant,desktop,user,daily,29/03/2017,639
wikipedia,en,African_elephant,desktop,user,daily,30/03/2017,604
wikipedia,en,African_elephant,desktop,user,daily,31/03/2017,568
wikipedia,en,African_elephant,desktop,user,daily,01/04/2017,283
wikipedia,en,African_elephant,desktop,user,daily,02/04/2017,328
wikipedia,en,African_elephant,desktop,user,daily,03/04/2017,594
wikipedia,en,African_elephant,desktop,user,daily,04/04/2017,605
wikipedia,en,African_elephant,desktop,user,daily,05/04/2017,637
wikipedia,en,African_elephant,desktop,user,daily,06/04/2017,544
wikipedia,en,African_elephant,desktop,user,daily,07/04/2017,627
wikipedia,en,African_elephant,desktop,user,daily,08/04/2017,275
wikipedia,en,African_elephant,desktop,user,daily,09/04/2017,340
wikipedia,en,African_elephant,desktop,user,daily,10/04/2017,545
wikipedia,en,African_elephant,desktop,user,daily,11/04/2017,478
wikipedia,en,African_elephant,desktop,user,daily,12/04/2017,516
wikipedia,en,African_elephant,desktop,user,daily,13/04/2017,468
wikipedia,en,African_elephant,desktop,user,daily,14/04/2017,310
wikipedia,en,African_elephant,desktop,user,daily,15/04/2017,254
wikipedia,en,African_elephant,desktop,user,daily,16/04/2017,290
wikipedia,en,African_elephant,desktop,user,daily,17/04/2017,499
wikipedia,en,African_elephant,desktop,user,daily,18/04/2017,585
wikipedia,en,African_elephant,desktop,user,daily,19/04/2017,614
wikipedia,en,African_elephant,desktop,user,daily,20/04/2017,509
wikipedia,en,African_elephant,desktop,user,daily,21/04/2017,477
wikipedia,en,African_elephant,desktop,user,daily,22/04/2017,358
wikipedia,en,African_elephant,desktop,user,daily,23/04/2017,388
wikipedia,en,African_elephant,desktop,user,daily,24/04/2017,529
wikipedia,en,African_elephant,desktop,user,daily,25/04/2017,619
wikipedia,en,African_elephant,desktop,user,daily,26/04/2017,592
wikipedia,en,African_elephant,desktop,user,daily,27/04/2017,633
wikipedia,en,African_elephant,desktop,user,daily,28/04/2017,479
wikipedia,en,African_elephant,desktop,user,daily,29/04/2017,297
wikipedia,en,African_elephant,desktop,user,daily,30/04/2017,297
wikipedia,en,African_elephant,mobile-web,user,daily,01/01/2017,443
wikipedia,en,African_elephant,mobile-web,user,daily,02/01/2017,477
wikipedia,en,African_elephant,mobile-web,user,daily,03/01/2017,420
wikipedia,en,African_elephant,mobile-web,user,daily,04/01/2017,418
wikipedia,en,African_elephant,mobile-web,user,daily,05/01/2017,459
wikipedia,en,African_elephant,mobile-web,user,daily,06/01/2017,417
wikipedia,en,African_elephant,mobile-web,user,daily,07/01/2017,486
wikipedia,en,African_elephant,mobile-web,user,daily,08/01/2017,506
wikipedia,en,African_elephant,mobile-web,user,daily,09/01/2017,413
wikipedia,en,African_elephant,mobile-web,user,daily,10/01/2017,434
wikipedia,en,African_elephant,mobile-web,user,daily,11/01/2017,524
wikipedia,en,African_elephant,mobile-web,user,daily,12/01/2017,474
wikipedia,en,African_elephant,mobile-web,user,daily,13/01/2017,430
wikipedia,en,African_elephant,mobile-web,user,daily,14/01/2017,458
wikipedia,en,African_elephant,mobile-web,user,daily,15/01/2017,594
wikipedia,en,African_elephant,mobile-web,user,daily,16/01/2017,472
wikipedia,en,African_elephant,mobile-web,user,daily,17/01/2017,563
wikipedia,en,African_elephant,mobile-web,user,daily,18/01/2017,753
wikipedia,en,African_elephant,mobile-web,user,daily,19/01/2017,516
wikipedia,en,African_elephant,mobile-web,user,daily,20/01/2017,448
wikipedia,en,African_elephant,mobile-web,user,daily,21/01/2017,459
