name,splitArticlesBefore,splitArticlesAfter,change,percChange,show,anomalies
Wood_stork,78,86.5,1,10.8974359,PE1,0
Yellow_goatfish,2,3,1,50,PE1,0
Yellowfin_tuna,340,350.5,1,3.088235294,PE1,0
African_buffalo,509,417.5,0,-17.97642436,PE2,0
Amitermes_meridionalis,1,5,1,400,PE2,1
Arctic_wolf,178,179,1,0.561797753,PE2,0
Atta_(genus),15,16,1,6.666666667,PE2,0
Bamboo_lemur,11,11,0,0,PE2,1
Barn_owl,439.5,440.5,1,0.227531286,PE2,0
Bison,913.5,738,0,-19.21182266,PE2,0
Bobcat,1439,1395,0,-3.057678944,PE2,1
Buller's_albatross,4,5,1,25,PE2,1
Butcherbird,61.5,85.5,1,39.02439024,PE2,1
Caiman,496,449.5,0,-9.375,PE2,0
Capybara,1632,1606.5,0,-1.5625,PE2,0
Caribou,394,425,1,7.868020305,PE2,1
Chinstrap_penguin,41,56.5,1,37.80487805,PE2,1
Christmas_Island_red_crab,77,95,1,23.37662338,PE2,0
Click_beetle,199,223,1,12.06030151,PE2,0
Colobinae,33,32,0,-3.03030303,PE2,0
Colubridae,103,130.5,1,26.69902913,PE2,1
Corvidae,213,271.5,1,27.46478873,PE2,0
Coyote,2055.5,2352.5,1,14.44903916,PE2,0
Crab,833.5,790.5,0,-5.158968206,PE2,0
Darkling_beetle,68,68.5,1,0.735294118,PE2,0
Deathstalker,175,199,1,13.71428571,PE2,0
Desert_long-eared_bat,1,4.5,1,350,PE2,1
Draco_(genus),58,81,1,39.65517241,PE2,1
Elephant,2836.5,2445.5,0,-13.78459369,PE2,0
Fairy_tern,6,8,1,33.33333333,PE2,1
Fire_ant,745,682,0,-8.456375839,PE2,0
Flamingo,886.5,954,1,7.614213198,PE2,1
Fox,1581.5,1642.5,1,3.857097692,PE2,0
Giant_anteater,139.5,156.5,1,12.18637993,PE2,1
Giant_otter,221,226,1,2.262443439,PE2,1
Giraffe,1631,1481.5,0,-9.166155733,PE2,0
Glass_frog,59,50,0,-15.25423729,PE2,0
Golden_eagle,955,915,0,-4.188481675,PE2,1
Golden_mole,26,47,1,80.76923077,PE2,1
Goldeneye_(duck),10,12,1,20,PE2,1
Great_bowerbird,4,5,1,25,PE2,1
Grizzly_bear,1295.5,1287,0,-0.656117329,PE2,0
Ground_squirrel,218,238,1,9.174311927,PE2,0
Harris's_hawk,140,146,1,4.285714286,PE2,1
Hawksbill_sea_turtle,142,144,1,1.408450704,PE2,0
Hummingbird,1751.5,1516.5,0,-13.41707108,PE2,0
Indri,36,53,1,47.22222222,PE2,1
Jackson's_widowbird,1,2,1,100,PE2,1
Jaguar,1832,1781,0,-2.783842795,PE2,0
Komodo_dragon,1919,1829.5,0,-4.663887441,PE2,1
Kori_bustard,100,103.5,1,3.5,PE2,1
Lagidium,4,6,1,50,PE2,1
Lemur,789.5,776,0,-1.709943002,PE2,0
Leopard,1499.5,1511,1,0.766922307,PE2,0
Lion,3375.5,3104,0,-8.043252851,PE2,0
Lizard,884,2251,1,154.638009,PE2,0
Locust,936,899.5,0,-3.89957265,PE2,1
Marine_iguana,116,126.5,1,9.051724138,PE2,0
Marmot,692,681.5,0,-1.51734104,PE2,0
Micromys,2,2,0,0,PE2,1
Millipede,715,682.5,0,-4.545454545,PE2,0
Mouse,560.5,620.5,1,10.70472792,PE2,0
Namaqua_chameleon,9,8,0,-11.11111111,PE2,0
Noddy_(tern),3,2,0,-33.33333333,PE2,0
Nubian_ibex,42,53,1,26.19047619,PE2,1
Oryx,216,236.5,1,9.490740741,PE2,0
Ostrich,1217,314.5,0,-74.157765,PE2,0
Pachydactylus_rangei,3,4,1,33.33333333,PE2,1
Pale_chanting_goshawk,4,5,1,25,PE2,1
Peregrine_falcon,1190,1123.5,0,-5.588235294,PE2,0
Pigeon,81.5,60,0,-26.3803681,PE2,0
