accuracy,mul,seco,diaries,taxa,status,wiki,mobile anomaly 1%,mobile anomaly 2%,desktop anomaly 1%,desktop anomaly 2%,anomaly
1,2,574,0,mammal,en,Snow Leopard,0,1,0,0,1
1,1,173,0,mammal,lc,Southern African vlei rat,1,2,0,1,1
2,1,240,0,bird,lc,Southern carmine bee eater,2,2,2,2,1
3,1,8,1,inverteb,na,Spider,0,1,0,0,1
2,1,308,0,mammal,en,Spider monkey,1,2,0,0,1
1,1,302,0,mammal,lc,Spotted hyena,1,2,0,2,1
2,1,47,0,mammal,na,Squirrel,0,0,0,0,0
2,1,155,0,bird,lc,Starling,1,1,0,0,1
1,1,166,0,bird,lc,Sword-billed hummingbird,2,2,1,2,1
3,1,64,0,inverteb,na,Termite,0,0,0,0,0
1,1,505,1,mammal,en,Tiger,0,0,0,0,0
2,1,44,0,reptile,na,Uroplatus,0,0,0,0,0
2,1,22,0,mammal,na,Vole,0,0,0,0,0
3,1,169,0,inverteb,na,Wasp,0,0,0,0,0
1,1,166,0,fish,lc,Wels catfish,2,2,1,2,1
1,1,407,1,mammal,en,Wild water buffalo,0,0,0,0,0
2,1,36,0,mammal,lc,Wildebeest,1,1,0,0,1
1,1,228,0,bird,nt,Wilson's bird-of-paradise,2,2,2,2,1
2,1,98,0,inverteb,a,Yellow crazy ant,2,2,1,2,1
2,1,171,0,mammal,nt,Zebra,1,1,0,0,1
