species,day,page views
African buffalo (Syncerus caffer),01/01/2016,375
African buffalo (Syncerus caffer),02/01/2016,340
African buffalo (Syncerus caffer),03/01/2016,440
African buffalo (Syncerus caffer),04/01/2016,209
African buffalo (Syncerus caffer),05/01/2016,143
African buffalo (Syncerus caffer),06/01/2016,228
African buffalo (Syncerus caffer),07/01/2016,665
African buffalo (Syncerus caffer),08/01/2016,498
African buffalo (Syncerus caffer),09/01/2016,169
African buffalo (Syncerus caffer),10/01/2016,130
African buffalo (Syncerus caffer),11/01/2016,121
African buffalo (Syncerus caffer),12/01/2016,244
African buffalo (Syncerus caffer),13/01/2016,248
African buffalo (Syncerus caffer),14/01/2016,114
African buffalo (Syncerus caffer),15/01/2016,353
African buffalo (Syncerus caffer),16/01/2016,149
African buffalo (Syncerus caffer),17/01/2016,207
African buffalo (Syncerus caffer),18/01/2016,346
African buffalo (Syncerus caffer),19/01/2016,308
African buffalo (Syncerus caffer),20/01/2016,166
African buffalo (Syncerus caffer),21/01/2016,351
African buffalo (Syncerus caffer),22/01/2016,267
African buffalo (Syncerus caffer),23/01/2016,312
African buffalo (Syncerus caffer),24/01/2016,263
African buffalo (Syncerus caffer),25/01/2016,177
African buffalo (Syncerus caffer),26/01/2016,280
African buffalo (Syncerus caffer),27/01/2016,226
African buffalo (Syncerus caffer),28/01/2016,310
African buffalo (Syncerus caffer),29/01/2016,292
African buffalo (Syncerus caffer),30/01/2016,195
African buffalo (Syncerus caffer),31/01/2016,289
African buffalo (Syncerus caffer),01/02/2016,515
African buffalo (Syncerus caffer),02/02/2016,278
African buffalo (Syncerus caffer),03/02/2016,237
African buffalo (Syncerus caffer),04/02/2016,390
African buffalo (Syncerus caffer),05/02/2016,129
African buffalo (Syncerus caffer),06/02/2016,186
African buffalo (Syncerus caffer),07/02/2016,227
African buffalo (Syncerus caffer),08/02/2016,249
African buffalo (Syncerus caffer),09/02/2016,360
African buffalo (Syncerus caffer),10/02/2016,642
African buffalo (Syncerus caffer),11/02/2016,579
African buffalo (Syncerus caffer),12/02/2016,181
African buffalo (Syncerus caffer),13/02/2016,176
African buffalo (Syncerus caffer),14/02/2016,102
African buffalo (Syncerus caffer),15/02/2016,144
African buffalo (Syncerus caffer),16/02/2016,371
African buffalo (Syncerus caffer),17/02/2016,171
African buffalo (Syncerus caffer),18/02/2016,214
African buffalo (Syncerus caffer),19/02/2016,119
African buffalo (Syncerus caffer),20/02/2016,195
African buffalo (Syncerus caffer),21/02/2016,55
African buffalo (Syncerus caffer),22/02/2016,360
African buffalo (Syncerus caffer),23/02/2016,279
African buffalo (Syncerus caffer),24/02/2016,212
African buffalo (Syncerus caffer),25/02/2016,207
African buffalo (Syncerus caffer),26/02/2016,565
African buffalo (Syncerus caffer),27/02/2016,259
African buffalo (Syncerus caffer),28/02/2016,172
African buffalo (Syncerus caffer),29/02/2016,132
African buffalo (Syncerus caffer),01/03/2016,445
African buffalo (Syncerus caffer),02/03/2016,278
African buffalo (Syncerus caffer),03/03/2016,179
African buffalo (Syncerus caffer),04/03/2016,516
African buffalo (Syncerus caffer),05/03/2016,278
African buffalo (Syncerus caffer),06/03/2016,159
African buffalo (Syncerus caffer),07/03/2016,392
African buffalo (Syncerus caffer),08/03/2016,386
African buffalo (Syncerus caffer),09/03/2016,176
African buffalo (Syncerus caffer),10/03/2016,261
African buffalo (Syncerus caffer),11/03/2016,66
African buffalo (Syncerus caffer),12/03/2016,78
African buffalo (Syncerus caffer),13/03/2016,238
African buffalo (Syncerus caffer),14/03/2016,208
African buffalo (Syncerus caffer),15/03/2016,323
African buffalo (Syncerus caffer),16/03/2016,137
African buffalo (Syncerus caffer),17/03/2016,407
African buffalo (Syncerus caffer),18/03/2016,177
African buffalo (Syncerus caffer),19/03/2016,479
African buffalo (Syncerus caffer),20/03/2016,50
African buffalo (Syncerus caffer),21/03/2016,134
African buffalo (Syncerus caffer),22/03/2016,420
African buffalo (Syncerus caffer),23/03/2016,366
African buffalo (Syncerus caffer),24/03/2016,168
African buffalo (Syncerus caffer),25/03/2016,160
African buffalo (Syncerus caffer),26/03/2016,255
African buffalo (Syncerus caffer),27/03/2016,154
African buffalo (Syncerus caffer),28/03/2016,263
African buffalo (Syncerus caffer),29/03/2016,235
African buffalo (Syncerus caffer),30/03/2016,299
African buffalo (Syncerus caffer),31/03/2016,244
African buffalo (Syncerus caffer),01/04/2016,328
African buffalo (Syncerus caffer),02/04/2016,126
African buffalo (Syncerus caffer),03/04/2016,135
African buffalo (Syncerus caffer),04/04/2016,356
African buffalo (Syncerus caffer),05/04/2016,314
African buffalo (Syncerus caffer),06/04/2016,315
African buffalo (Syncerus caffer),07/04/2016,363
African buffalo (Syncerus caffer),08/04/2016,359
African buffalo (Syncerus caffer),09/04/2016,188
African buffalo (Syncerus caffer),10/04/2016,206
African buffalo (Syncerus caffer),11/04/2016,251
African buffalo (Syncerus caffer),12/04/2016,127
African buffalo (Syncerus caffer),13/04/2016,238
African buffalo (Syncerus caffer),14/04/2016,186
African buffalo (Syncerus caffer),15/04/2016,297
African buffalo (Syncerus caffer),16/04/2016,104
African buffalo (Syncerus caffer),17/04/2016,162
African buffalo (Syncerus caffer),18/04/2016,303
African buffalo (Syncerus caffer),19/04/2016,197
African buffalo (Syncerus caffer),20/04/2016,294
African buffalo (Syncerus caffer),21/04/2016,343
African buffalo (Syncerus caffer),22/04/2016,319
African buffalo (Syncerus caffer),23/04/2016,210
African buffalo (Syncerus caffer),24/04/2016,285
African buffalo (Syncerus caffer),25/04/2016,367
African buffalo (Syncerus caffer),26/04/2016,219
African buffalo (Syncerus caffer),27/04/2016,164
African buffalo (Syncerus caffer),28/04/2016,269
African buffalo (Syncerus caffer),29/04/2016,250
African buffalo (Syncerus caffer),30/04/2016,123
African buffalo (Syncerus caffer),01/05/2016,362
African buffalo (Syncerus caffer),02/05/2016,220
African buffalo (Syncerus caffer),03/05/2016,346
African buffalo (Syncerus caffer),04/05/2016,354
African buffalo (Syncerus caffer),05/05/2016,231
African buffalo (Syncerus caffer),06/05/2016,325
African buffalo (Syncerus caffer),07/05/2016,241
African buffalo (Syncerus caffer),08/05/2016,159
